"labels(n)","valid_until","country_codes","countries","node_id","sourceID","address","name","jurisdiction_description","service_provider","jurisdiction","closed_date","incorporation_date","ibcRUC","type","status","company_type","note"
"[""Address""]","The Bahamas Leaks data is current through early 2016.","BHS","Bahamas","24000001","Bahamas Leaks","ANNEX FREDERICK & SHIRLEY STS, P.O. BOX N-4805, NASSAU, BAHAMAS","","","","","","","","","","",""
"[""Address""]","The Bahamas Leaks data is current through early 2016.","BHS","Bahamas","24000002","Bahamas Leaks","SUITE E-2,UNION COURT BUILDING, P.O. BOX N-8188, NASSAU, BAHAMAS","","","","","","","","","","",""
"[""Address""]","The Bahamas Leaks data is current through early 2016.","BHS","Bahamas","24000003","Bahamas Leaks","LYFORD CAY HOUSE, LYFORD CAY, P.O. BOX N-7785, NASSAU, BAHAMAS","","","","","","","","","","",""
"[""Address""]","The Bahamas Leaks data is current through early 2016.","BHS","Bahamas","24000004","Bahamas Leaks","P.O. BOX N-3708 BAHAMAS FINANCIAL CENTRE, P.O. BOX N-3708 SHIRLEY & CHARLOTTE STS, NASSAU, BAHAMAS","","","","","","","","","","",""
"[""Address""]","The Bahamas Leaks data is current through early 2016.","BHS","Bahamas","24000005","Bahamas Leaks","LYFORD CAY HOUSE, 3RD FLOOR, LYFORD CAY, P.O. BOX N-3024, NASSAU, BAHAMAS","","","","","","","","","","",""
"[""Address""]","The Bahamas Leaks data is current through early 2016.","BHS","Bahamas","24000006","Bahamas Leaks","303 SHIRLEY STREET, P.O. BOX N-492, NASSAU, BAHAMAS","","","","","","","","","","",""
"[""Address""]","The Bahamas Leaks data is current through early 2016.","BHS","Bahamas","24000007","Bahamas Leaks","OCEAN CENTRE, MONTAGU FORESHORE, P.O. BOX SS-19084 EAST BAY STREET, NASSAU, BAHAMAS","","","","","","","","","","",""
"[""Address""]","The Bahamas Leaks data is current through early 2016.","BHS","Bahamas","24000008","Bahamas Leaks","PROVIDENCE HOUSE, EAST WING EAST HILL ST, P.O. BOX CB-12399, NASSAU, BAHAMAS","","","","","","","","","","",""
"[""Address""]","The Bahamas Leaks data is current through early 2016.","BHS","Bahamas","24000009","Bahamas Leaks","BAYSIDE EXECUTIVE PARK, WEST BAY & BLAKE, P.O. BOX N-4875, NASSAU, BAHAMAS","","","","","","","","","","",""
"[""Address""]","The Bahamas Leaks data is current through early 2016.","BHS","Bahamas","24000010","Bahamas Leaks","GROUND FLOOR, GOODMAN'S BAY CORPORATE CE, P.O. BOX N 3933, NASSAU, BAHAMAS","","","","","","","","","","",""
