"node_id","name","country_codes","countries","sourceID","valid_until","note"
"85004929","ANTAM ENTERPRISES N.V.","","","Paradise Papers - Aruba corporate registry","Aruba corporate registry data is current through 2016","Closed date stands for Cancelled date."
"85008443","DEVIATION N.V.","","","Paradise Papers - Aruba corporate registry","Aruba corporate registry data is current through 2016",""
"85008517","ARIAZI N.V.","","","Paradise Papers - Aruba corporate registry","Aruba corporate registry data is current through 2016","Closed date stands for Cancelled date."
"85008542","FLAIRUBA N.V.","","","Paradise Papers - Aruba corporate registry","Aruba corporate registry data is current through 2016",""
"85008583","S.L. ARUBA FISHERIES TRADING N.V.","","","Paradise Papers - Aruba corporate registry","Aruba corporate registry data is current through 2016","Closed date stands for Cancelled date."
"85008632","PALCOHI ARUBA N.V.","","","Paradise Papers - Aruba corporate registry","Aruba corporate registry data is current through 2016",""
"85008634","CHEECHO (ARUBA) N.V.","","","Paradise Papers - Aruba corporate registry","Aruba corporate registry data is current through 2016",""
"85008647","WINTERGARDEN N.V.","","","Paradise Papers - Aruba corporate registry","Aruba corporate registry data is current through 2016",""
"85008675","CRUKEL (ARUBA) II N.V.","","","Paradise Papers - Aruba corporate registry","Aruba corporate registry data is current through 2016",""
"85008706","CARAMBOLA N.V.","","","Paradise Papers - Aruba corporate registry","Aruba corporate registry data is current through 2016",""
"85008794","BEACH BUM CO N.V.","","","Paradise Papers - Aruba corporate registry","Aruba corporate registry data is current through 2016",""
"85008888","DE LANDAUER N.V.","","","Paradise Papers - Aruba corporate registry","Aruba corporate registry data is current through 2016",""
"85009016","RUPCHAND SONS N.V.","","","Paradise Papers - Aruba corporate registry","Aruba corporate registry data is current through 2016","Closed date stands for Liquidation date."
"85009035","ASSANG TRADING COMPANY N.V.","","","Paradise Papers - Aruba corporate registry","Aruba corporate registry data is current through 2016","Closed date stands for Cancelled date."
"85009054","RED SAIL SPORTS ARUBA N.V.","","","Paradise Papers - Aruba corporate registry","Aruba corporate registry data is current through 2016",""
"85009128","DEALS ON WHEELS N.V.","","","Paradise Papers - Aruba corporate registry","Aruba corporate registry data is current through 2016",""
"85009129","JAVARUBA N.V.","","","Paradise Papers - Aruba corporate registry","Aruba corporate registry data is current through 2016",""
"85009212","FURNITURE OUTLET CENTER N.V.","","","Paradise Papers - Aruba corporate registry","Aruba corporate registry data is current through 2016",""
"85009213","LING & SONS HOLDING & MANAGEMENT N.V.","","","Paradise Papers - Aruba corporate registry","Aruba corporate registry data is current through 2016",""
"85009339","ARTMAR N.V.","","","Paradise Papers - Aruba corporate registry","Aruba corporate registry data is current through 2016",""
"85009342","SADINI'S N.V.","","","Paradise Papers - Aruba corporate registry","Aruba corporate registry data is current through 2016","Closed date stands for Cancelled date."
"85009380","DYNAMITE N.V.","","","Paradise Papers - Aruba corporate registry","Aruba corporate registry data is current through 2016","Closed date stands for Cancelled date."
"85009382","HARBOUR TOWEL N.V.","","","Paradise Papers - Aruba corporate registry","Aruba corporate registry data is current through 2016","Closed date stands for Cancelled date."
"85009385","CASA DEL MIMBRE NV (I.L.)","","","Paradise Papers - Aruba corporate registry","Aruba corporate registry data is current through 2016","Closed date stands for Liquidation date."
"85009429","OCEAN FUN N.V.","","","Paradise Papers - Aruba corporate registry","Aruba corporate registry data is current through 2016","Closed date stands for Cancelled date."
